Study_Program	Question	Time
Master's degree in Electronics Engineering ⚡	How do communication protocols like SPI and I2C differ in application?	60
Msc in Environmental Engineering and Management	What strategies would you propose for effective solid waste management in a dense urban area?	90
Msc in Environmental Engineering and Management	Explain the concept of Life Cycle Assessment (LCA) and its importance.	60
Msc in Environmental Engineering and Management	How does climate change impact water resource management in your region?	90
Msc in Environmental Engineering and Management	What technologies are most promising for wastewater treatment today?	60
Msc in Environmental Engineering and Management	Discuss the economic implications of transitioning to renewable energy sources.	90
Msc in Environmental Engineering and Management	How would you assess the environmental impact of a new construction project?	120
Msc in Environmental Engineering and Management	What is the difference between circular economy and linear economy models?	60
Msc in Environmental Engineering and Management	Describe a time you advocated for a sustainable practice in your personal or professional life.	120
Master's degree in Structural Engineering	How does a shear wall differ from a moment-resisting frame in resisting lateral loads?	60
Master's degree in Structural Engineering	When would you choose a steel structure over a concrete one for a high-rise building?	60
Master's degree in Structural Engineering	Explain the concept of ductility and why it is crucial in earthquake engineering.	60
Master's degree in Structural Engineering	What are the primary causes of long-term deflection in reinforced concrete beams?	60
Master's degree in Structural Engineering	How do environmental factors influence your choice of construction materials?	60
Master's degree in Structural Engineering	Describe your experience with structural analysis software like SAP2000 or ETABS.	60
Master's degree in Structural Engineering	What is the function of a stirrup in a reinforced concrete beam?	45
Master's degree in Structural Engineering	How do you ensure the stability of a structure during the construction phase?	90
Master's degree in Automotive Engineering	What are the main technical hurdles in achieving Level 5 autonomous driving?	90
Master's degree in Automotive Engineering	Compare hydrogen fuel cells versus lithium-ion batteries for heavy-duty transport.	90
Master's degree in Automotive Engineering	How does aerodynamics affect the range of an electric vehicle?	60
Master's degree in Automotive Engineering	What is the role of the ECU (Engine Control Unit) in modern vehicles?	60
Master's degree in Automotive Engineering	Discuss the impact of Euro 7 emission standards on engine design.	90
Master's degree in Automotive Engineering	How would you improve the safety features of a compact city car?	90
Master's degree in Automotive Engineering	Explain the difference between active and passive suspension systems.	60
Master's degree in Automotive Engineering	What is your favorite automotive innovation from the last five years?	60
Master's degree in International Business	How do cultural differences impact negotiation strategies in international business?	90
Master's degree in International Business	What are the risks and benefits of outsourcing supply chains to emerging markets?	90
Master's degree in International Business	Explain the concept of 'Glocalization' with a real-world example.	60
Master's degree in International Business	How would you enter a foreign market with high barriers to entry?	120
Master's degree in International Business	What role does digital transformation play in modern global trade?	90
Master's degree in International Business	Describe a time you had to adapt to a new cultural environment.	120
Master's degree in International Business	How do exchange rate fluctuations affect export-oriented businesses?	60
Master's degree in International Business	What is your leadership style in a multicultural team setting?	90
Master's degree in Financial Engineering	Explain the concept of Value at Risk (VaR) and its limitations.	60
Master's degree in Financial Engineering	How do derivatives function as hedging instruments for corporations?	90
Master's degree in Financial Engineering	What is the difference between systematic and unsystematic risk?	60
Master's degree in Financial Engineering	Discuss the impact of algorithmic trading on market volatility.	90
Master's degree in Financial Engineering	How does the Black-Scholes model price options?	90
Master's degree in Financial Engineering	What role does blockchain technology play in the future of fintech?	60
Master's degree in Financial Engineering	Describe a financial model you have built or analyzed in the past.	120
Master's degree in Financial Engineering	How do interest rate changes by central banks influence bond prices?	60
Master's degree in Mechanical Engineering	What are the differences between thermodynamic cycles in petrol and diesel engines?	60
Master's degree in Mechanical Engineering	How do you select the correct manufacturing process for a complex geometric part?	90
Master's degree in Mechanical Engineering	Explain the Von Mises stress criterion and when it is used.	60
Master's degree in Mechanical Engineering	What is the importance of tolerancing in mechanical design assemblies?	60
Master's degree in Mechanical Engineering	Describe a mechanical system you designed and the challenges you faced during fabrication.	120
Master's degree in Mechanical Engineering	How does fatigue failure differ from static failure?	60
Master's degree in Mechanical Engineering	What is your experience with CAD software and 3D modeling?	45
Master's degree in Mechanical Engineering	Discuss the future of robotics in manufacturing automation.	90
Electrical Power and Renewable Energy Engineering	What are the main challenges in integrating solar energy into the national grid?	90
Electrical Power and Renewable Energy Engineering	Explain the difference between AC and DC transmission for long distances.	60
Electrical Power and Renewable Energy Engineering	How does a smart grid differ from a traditional power grid?	60
Electrical Power and Renewable Energy Engineering	What storage technologies are best suited for wind energy fluctuation?	90
Electrical Power and Renewable Energy Engineering	Describe the working principle of a transformer.	60
Electrical Power and Renewable Energy Engineering	What is the power factor, and why is correction necessary in industrial settings?	60
Electrical Power and Renewable Energy Engineering	How do you see the role of nuclear energy in a carbon-neutral future?	90
Electrical Power and Renewable Energy Engineering	What safety protocols are essential when working with high voltage systems?	60
Master's degree in Global Economics	How does protectionism impact global supply chains?	90
Master's degree in Global Economics	Explain the relationship between inflation and unemployment.	60
Master's degree in Global Economics	What are the economic implications of an aging population in developed countries?	90
Master's degree in Global Economics	Compare monetary policy vs. fiscal policy in combating a recession.	90
Master's degree in Global Economics	How do multinational corporations influence local economies in developing nations?	90
Master's degree in Global Economics	What is the significance of the balance of payments for a country?	60
Master's degree in Global Economics	Discuss the role of cryptocurrencies in the future global economy.	90
Master's degree in Global Economics	Which economic theorist has influenced your thinking the most and why?	60
Master's degree in Nanobiotechnology	How can nanoparticles be used for targeted drug delivery?	60
Master's degree in Nanobiotechnology	What are the toxicity concerns related to nanomaterials in the human body?	90
Master's degree in Nanobiotechnology	Explain the difference between top-down and bottom-up nanofabrication.	60
Master's degree in Nanobiotechnology	How does the surface area-to-volume ratio affect the properties of nanomaterials?	60
Master's degree in Nanobiotechnology	Discuss a potential application of nanotechnology in cancer treatment.	90
Master's degree in Nanobiotechnology	What techniques are used to characterize nanoparticles (e.g., SEM, TEM)?	60
Master's degree in Nanobiotechnology	How do quantum dots function in bio-imaging?	90
Master's degree in Nanobiotechnology	What ethical regulations should govern nanobiotechnology research?	90
Master's degree in Mechatronics Systems	Explain the role of a PID controller in a feedback loop.	60
Master's degree in Mechatronics Systems	How do you choose between a stepper motor and a servo motor for a robotic arm?	60
Master's degree in Mechatronics Systems	What sensors would you use to enable a robot to navigate a room autonomously?	90
Master's degree in Mechatronics Systems	Describe the integration of mechanical, electrical, and software components in a project you worked on.	120
Master's degree in Mechatronics Systems	What is the function of a PLC in industrial automation?	60
Master's degree in Mechatronics Systems	How do you handle signal noise when reading data from analog sensors?	60
Master's degree in Mechatronics Systems	Discuss the challenges of real-time processing in mechatronic systems.	90
Master's degree in Mechatronics Systems	What is your experience with ROS (Robot Operating System)?	45
Master's degree in Computer Engineering	Explain the concept of pipelining in computer architecture.	60
Master's degree in Computer Engineering	What is the difference between a process and a thread?	60
Master's degree in Computer Engineering	How does cache memory improve system performance?	60
Master's degree in Computer Engineering	Describe the trade-offs between RISC and CISC architectures.	90
Master's degree in Computer Engineering	How would you optimize a piece of code that is running too slowly?	90
Master's degree in Computer Engineering	What is the role of an operating system kernel?	60
Master's degree in Computer Engineering	Explain the difference between TCP and UDP protocols.	60
Master's degree in Computer Engineering	Describe a hardware-software interface project you have completed.	120
Master's degree in Information and IT Security	What is the difference between symmetric and asymmetric encryption?	60
Master's degree in Information and IT Security	How would you prevent a SQL injection attack?	90
Master's degree in Information and IT Security	Explain the concept of a Zero Trust security model.	60
Master's degree in Information and IT Security	What are the three pillars of the CIA triad in information security?	45
Master's degree in Information and IT Security	How does a Distributed Denial of Service (DDoS) attack work?	60
Master's degree in Information and IT Security	What is the purpose of a firewall vs. an Intrusion Detection System (IDS)?	90
Master's degree in Information and IT Security	Describe the steps you would take during a security incident response.	120
Master's degree in Information and IT Security	What is a man-in-the-middle attack and how can it be mitigated?	90
Industrial Engineering and Innovation Management	How do you identify bottlenecks in a production line?	60
Industrial Engineering and Innovation Management	Explain the principles of Lean Manufacturing.	60
Industrial Engineering and Innovation Management	What is the difference between quality control and quality assurance?	60
Industrial Engineering and Innovation Management	How would you foster a culture of innovation within a traditional manufacturing firm?	90
Industrial Engineering and Innovation Management	Describe a time you used data to improve an operational process.	120
Industrial Engineering and Innovation Management	What is Six Sigma and how is it applied?	60
Industrial Engineering and Innovation Management	How do supply chain disruptions affect production planning?	90
Industrial Engineering and Innovation Management	What is the importance of ergonomics in industrial workplace design?	60
a Scholarship 1	How will this scholarship impact your ability to focus on your studies?	60
a Scholarship 1	Give an example of how you have contributed to your community recently.	90
a Scholarship 1	What sets you apart from other high-achieving candidates?	60
a Scholarship 1	How do you plan to give back to the university if you receive this award?	60
a Scholarship 1	Describe a financial hardship or challenge you have overcome to get here.	120
Innovative Road and Bridge Engineering programme	What are the advantages of using asphalt concrete versus cement concrete for roads?	60
Innovative Road and Bridge Engineering programme	How do weather conditions affect the design of a bridge?	60
Innovative Road and Bridge Engineering programme	Explain the importance of soil testing before road construction.	60
Innovative Road and Bridge Engineering programme	What technologies are improving the longevity of road infrastructure?	90
Innovative Road and Bridge Engineering programme	Describe the load distribution in a suspension bridge.	60
a Bachelor's degree 2	What study techniques do you use to prepare for difficult exams?	60
a Bachelor's degree 2	How do you handle constructive criticism from teachers or peers?	90
a Bachelor's degree 2	What was your favorite subject in high school and why?	45
a Bachelor's degree 2	Describe a group project where you had to take the lead.	90
a Bachelor's degree 2	What are you most looking forward to about university life?	60
a Preparatory programme 	What specific subjects do you feel you need the most help with before starting your degree?	60
a Preparatory programme 	How do you plan to improve your English language skills during this year?	60
a Preparatory programme 	What is your biggest fear about studying in a foreign country?	60
a Preparatory programme 	How do you stay motivated when learning gets difficult?	60
a Preparatory programme 2	Why do you think a preparatory year is necessary for your success?	60
a Preparatory programme 2	What is your routine for learning new vocabulary or concepts?	60
a Preparatory programme 2	Have you ever lived away from home before? How will you manage?	60
a Preparatory programme 2	What are your academic goals for the end of this preparatory course?	60
Master's degree in Business Leadership	Describe a situation where you had to lead a team through a crisis.	120
Master's degree in Business Leadership	What is the difference between management and leadership in your opinion?	90
Master's degree in Business Leadership	How do you motivate team members who are underperforming?	90
Master's degree in Business Leadership	What is your approach to decision-making under uncertainty?	90
Master's degree in Business Leadership	How do you handle conflict between two subordinates?	120
Master's degree in Business Leadership	Who is a leader you admire and what traits do they possess?	60
Master's degree in Biomedical Engineering 🧬 2	What do you think is the biggest barrier to the adoption of new medical technologies?	90
Master's degree in Biomedical Engineering 🧬 2	How would you design a wearable device for monitoring heart health?	120
Master's degree in Biomedical Engineering 🧬 2	What interests you more: clinical engineering or research and development?	60
Master's degree in Biomedical Engineering 🧬 2	Explain the physics behind Ultrasound imaging.	60
Master's degree in Biomedical Engineering 🧬 2	How do strict regulations affect innovation in biomedical engineering?	90
Master's degree in Building Energy Engineering	What are the most effective passive design strategies for reducing energy consumption?	90
Master's degree in Building Energy Engineering	How does a heat pump system differ from a traditional boiler?	60
Master's degree in Building Energy Engineering	What is the role of thermal insulation in building energy efficiency?	60
Master's degree in Building Energy Engineering	Explain the concept of a 'Zero Energy Building' (ZEB).	60
Master's degree in Building Energy Engineering	How can smart building management systems optimize energy use?	90
Master's degree in Building Energy Engineering	What renewable energy sources are most viable for urban residential buildings?	60
Master's degree in Information and IT Security 2	How does public key infrastructure (PKI) support secure communications?	90
Master's degree in Information and IT Security 2	What are the risks associated with Bring Your Own Device (BYOD) policies?	90
Master's degree in Information and IT Security 2	Explain the concept of social engineering in the context of cybersecurity.	60
Master's degree in Information and IT Security 2	How would you secure a cloud-based application differently from an on-premise one?	90
Master's degree in Information and IT Security 2	What is the function of a VPN and when should it be used?	60
Master's degree in Information and IT Security 2	Describe how ransomware operates and how to recover from it.	90
Master's degree in Mechatronics Systems 2	How does a microcontroller interface with an analog sensor?	60
Master's degree in Mechatronics Systems 2	What are the advantages of using pneumatic actuators over hydraulic ones?	60
Master's degree in Mechatronics Systems 2	Explain the difference between open-loop and closed-loop control systems.	60
Master's degree in Mechatronics Systems 2	How would you approach debugging a robot that isn't moving as programmed?	120
Master's degree in Mechatronics Systems 2	What is the future of human-robot collaboration in industry?	90
Master's degree in Structural Engineering 2	What are the main differences in behavior between brittle and ductile materials?	60
Master's degree in Structural Engineering 2	How do you calculate the bending moment in a simply supported beam?	60
Master's degree in Structural Engineering 2	What is the purpose of expansion joints in long concrete structures?	60
Master's degree in Structural Engineering 2	Explain the concept of prestressed concrete and its benefits.	60
Master's degree in Structural Engineering 2	How does wind load calculation change as building height increases?	60
Master's degree in Aerospace Engineering 🛰️ 2	What are the key factors in selecting an airfoil shape for a wing?	60
Master's degree in Aerospace Engineering 🛰️ 2	How does a jet engine produce thrust?	60
Master's degree in Aerospace Engineering 🛰️ 2	What are the challenges of hypersonic flight?	90
Master's degree in Aerospace Engineering 🛰️ 2	Explain the four forces of flight.	45
Master's degree in Aerospace Engineering 🛰️ 2	How do composite materials contribute to fuel efficiency?	60
Electrical Power and Renewable Energy Engineering2	What are the environmental impacts of large-scale hydroelectric dams?	90
Electrical Power and Renewable Energy Engineering2	How does a photovoltaic cell convert light into electricity?	60
Electrical Power and Renewable Energy Engineering2	What is the role of an inverter in a solar energy system?	60
Electrical Power and Renewable Energy Engineering2	Discuss the challenges of wind turbine maintenance offshore.	90
Electrical Power and Renewable Energy Engineering2	How can demand-side management reduce peak load on the grid?	90
Joint degree in Innovative Solutions in Geomatics	What is the difference between GPS and GNSS?	45
Joint degree in Innovative Solutions in Geomatics	How is LiDAR technology changing the field of surveying?	60
Joint degree in Innovative Solutions in Geomatics	Explain the concept of a datum in geodesy.	60
Joint degree in Innovative Solutions in Geomatics	What are the applications of GIS in urban planning?	90
Joint degree in Innovative Solutions in Geomatics	How do you ensure accuracy when using a total station?	60
Interview Environmental Engineering and Management2	How does eutrophication occur and what are its effects?	60
Interview Environmental Engineering and Management2	What methods are effective for removing heavy metals from soil?	90
Interview Environmental Engineering and Management2	Discuss the global challenges of plastic pollution in oceans.	90
Interview Environmental Engineering and Management2	How does the greenhouse effect work?	60
Interview Environmental Engineering and Management2	What role do environmental engineers play in public health?	90
Master's degree in International Business 2	What are the key components of a successful export strategy?	90
Master's degree in International Business 2	How does political instability in a region affect international trade agreements?	90
Master's degree in International Business 2	Explain the concept of Corporate Social Responsibility (CSR) in a global context.	90
Master's degree in International Business 2	What are the main challenges of managing a remote international workforce?	90
Master's degree in International Business 2	How do tariffs impact consumer prices?	60
Master's degree in Computer Engineering 2	What is the function of the ALU (Arithmetic Logic Unit)?	45
Master's degree in Computer Engineering 2	How do multicore processors handle shared resources?	60
Master's degree in Computer Engineering 2	Explain the difference between volatile and non-volatile memory.	45
Master's degree in Computer Engineering 2	What are the challenges of designing for low-power embedded systems?	90
Master's degree in Computer Engineering 2	How does an interrupt controller work?	60
a Bachelor's degree 1	Why did you choose this specific major over others?	60
a Bachelor's degree 1	What extracurricular activities have prepared you for university?	60
a Bachelor's degree 1	How do you handle tight deadlines?	60
a Bachelor's degree 1	Where do you see yourself professionally in 5 years?	60
a Bachelor's degree 1	Describe a book or article you read recently that changed your perspective.	90
Master's degree in Transport Logistics	What is the "last mile" problem in logistics and how can it be solved?	90
Master's degree in Transport Logistics	How does intermodal transport increase efficiency?	60
Master's degree in Transport Logistics	What role does big data play in supply chain optimization?	90
Master's degree in Transport Logistics	Explain the difference between 3PL and 4PL providers.	60
Master's degree in Transport Logistics	How do just-in-time (JIT) inventory systems work?	60
MBA	How do you calculate ROI and why is it important?	60
MBA	Describe a time you failed in business and what you learned.	120
MBA	What is the importance of organizational culture?	90
MBA	How would you market a new product with a limited budget?	120
MBA	What are the key financial statements every manager should understand?	60
a Scholarship Engineering/Technologies 1	Describe a technical project where you had to innovate to solve a problem.	120
a Scholarship Engineering/Technologies 1	How do you keep up with the rapidly changing technology landscape?	60
a Scholarship Engineering/Technologies 1	Why do you deserve this scholarship more than other engineering candidates?	90
a Scholarship Engineering/Technologies 1	What is the ethical responsibility of an engineer to society?	90
a Scholarship Engineering/Technologies 2	Tell us about a time a project didn't go as planned and how you fixed it.	120
a Scholarship Engineering/Technologies 2	What specific area of technology are you most passionate about researching?	60
a Scholarship Engineering/Technologies 2	How will this scholarship help you achieve your long-term career goals?	90
a Scholarship Engineering/Technologies 2	Describe your experience working in diverse technical teams.	90
Master's degree ISSE	What is the Agile methodology and how does it differ from Waterfall?	90
Master's degree ISSE	Explain the concept of object-oriented programming (OOP).	60
Master's degree ISSE	What is the purpose of a UML diagram?	60
Master's degree ISSE	How do you ensure software quality through testing?	90
Master's degree ISSE	What is the difference between a functional and non-functional requirement?	60
PhD Interview	What is the central hypothesis of your proposed research?	120
PhD Interview	How does your proposed research contribute to the existing body of knowledge?	120
PhD Interview	What methodology do you plan to use for your data collection?	90
PhD Interview	Why did you choose this university for your doctoral studies?	60
PhD Interview	How do you plan to fund your research activities?	60
Scholarship Creative/Architecture	Who is your favorite architect or artist and why?	60
Scholarship Creative/Architecture	Describe your creative process from concept to final design.	120
Scholarship Creative/Architecture	How do you handle criticism of your creative work?	90
Scholarship Creative/Architecture	What role does sustainability play in your design philosophy?	90
Scholarship Business/Finance	What is the biggest financial challenge facing the global economy today?	90
Scholarship Business/Finance	How do you demonstrate leadership in a business setting?	90
Scholarship Business/Finance	Describe a complex financial concept to a layperson.	90
Scholarship Business/Finance	What are your entrepreneurial ambitions?	60
Master's in AI Systems	What is the difference between supervised and unsupervised learning?	60
Master's in AI Systems	Explain the concept of a neural network.	60
Master's in AI Systems	What are the ethical implications of facial recognition technology?	90
Master's in AI Systems	How does Natural Language Processing (NLP) work?	90
Master's in AI Systems	What is overfitting in a machine learning model and how do you prevent it?	90
Bachelor's degree 3	What do you do in your free time that helps you relax?	45
Bachelor's degree 3	If you could solve one world problem, what would it be?	60
Bachelor's degree 3	How do you prioritize your tasks when you are overwhelmed?	60
Bachelor's degree 3	What is a skill you taught yourself recently?	60
MA in Communication of Creative Society	How has social media changed the landscape of professional communication?	90
MA in Communication of Creative Society	What is the role of creativity in crisis communication?	90
MA in Communication of Creative Society	How do you measure the impact of a communication campaign?	90
MA in Communication of Creative Society	Discuss the influence of digital culture on traditional media.	90
Master's degree in Building Information Modelling	What is the primary benefit of BIM over traditional CAD drafting?	60
Master's degree in Building Information Modelling	How does BIM facilitate collaboration between architects and engineers?	90
Master's degree in Building Information Modelling	What is "clash detection" in BIM?	60
Master's degree in Building Information Modelling	Explain the different dimensions of BIM (3D, 4D, 5D, etc.).	90
MA in Communication of Creative Society 2	How do you tailor a message for different cultural audiences?	90
MA in Communication of Creative Society 2	What is the future of storytelling in the age of AI?	90
MA in Communication of Creative Society 2	Describe a communication project you managed successfully.	120
MA in Communication of Creative Society 2	Why is visual literacy important in modern society?	60
Scholarship Business/Finance 2	Describe a financial trend that you are currently following.	60
Scholarship Business/Finance 2	How would you invest a hypothetical $10,000 today?	90
Scholarship Business/Finance 2	What qualities define an ethical business leader?	60
Scholarship Business/Finance 2	How does this scholarship fit into your 5-year plan?	90
Master's degree in Automotive Engineering 2	What are the challenges of battery recycling for electric vehicles?	90
Master's degree in Automotive Engineering 2	How does vehicle-to-everything (V2X) communication improve safety?	90
Master's degree in Automotive Engineering 2	Explain the operation of a hybrid powertrain.	60
Master's degree in Automotive Engineering 2	What materials are being used to reduce vehicle weight?	60
Msc in Engineering of Artificial Intelligence	What is the vanishing gradient problem in deep learning?	90
Msc in Engineering of Artificial Intelligence	How do Convolutional Neural Networks (CNNs) process images?	90
Msc in Engineering of Artificial Intelligence	Explain the difference between reinforcement learning and supervised learning.	90
Msc in Engineering of Artificial Intelligence	What libraries do you use for machine learning (e.g., PyTorch, TensorFlow)?	45
Msc in Engineering of Artificial Intelligence 2	How would you handle a dataset with missing values?	90
Msc in Engineering of Artificial Intelligence 2	What metrics do you use to evaluate a classification model?	60
Msc in Engineering of Artificial Intelligence 2	Explain the concept of transfer learning.	60
Msc in Engineering of Artificial Intelligence 2	What are the computational challenges of training large language models?	90
Msc in Management of AI Solutions	How do you assess the ROI of an AI implementation in business?	90
Msc in Management of AI Solutions	What are the legal implications of using AI in decision making?	90
Msc in Management of AI Solutions	How do you manage the expectations of stakeholders regarding AI capabilities?	120
Msc in Management of AI Solutions	What strategies would you use to ensure AI explainability to clients?	90
Msc in Management of AI Solutions 2	How do you handle data privacy concerns when managing AI projects?	90
Msc in Management of AI Solutions 2	Describe a scenario where AI is NOT the right solution for a business problem.	90
Msc in Management of AI Solutions 2	How do you bridge the gap between technical teams and business management?	120
Msc in Management of AI Solutions 2	What is the lifecycle of an AI product?	90
Msc in Sustainability Management	How do you define the "triple bottom line" in business?	60
Msc in Sustainability Management	What are the challenges of implementing a circular economy in manufacturing?	90
Msc in Sustainability Management	How can companies effectively measure their carbon footprint?	90
Msc in Sustainability Management	What is greenwashing and how can consumers identify it?	60
Msc in Sustainability Management 2	Discuss the role of government policy in driving corporate sustainability.	90
Msc in Sustainability Management 2	How does supply chain transparency impact sustainability goals?	90
Msc in Sustainability Management 2	What are the UN Sustainable Development Goals (SDGs) most relevant to your field?	60
Msc in Sustainability Management 2	Describe a sustainability initiative you would like to lead.	90
Master's degree in Data Science and Statistics	What is the difference between Type I and Type II errors in hypothesis testing?	60
Master's degree in Data Science and Statistics	How do you choose the right visualization for a dataset?	60
Master's degree in Data Science and Statistics	Explain the Central Limit Theorem.	60
Master's degree in Data Science and Statistics	What is the difference between SQL and NoSQL databases?	60
Master's degree in Data Science and Statistics	How do you handle outliers in a dataset?	90
Master's degree in Data Science and Statistics 2	What is the bias-variance tradeoff in machine learning?	90
Master's degree in Data Science and Statistics 2	Explain the concept of p-value to a non-statistician.	60
Master's degree in Data Science and Statistics 2	How does A/B testing work?	60
Master's degree in Data Science and Statistics 2	What is the difference between correlation and causation?	60
Master's in AI Systems 2	What are the security vulnerabilities of AI systems (e.g., adversarial attacks)?	90
Master's in AI Systems 2	How can AI be used to optimize energy consumption?	90
Master's in AI Systems 2	What is the role of edge computing in AI deployment?	60
Master's in AI Systems 2	Describe a project where you used computer vision.	120
Master's degree in Digital Twin Technology	How does a digital twin differ from a standard 3D simulation?	90
Master's degree in Digital Twin Technology	What role does the Internet of Things (IoT) play in digital twins?	60
Master's degree in Digital Twin Technology	How can digital twins be used for predictive maintenance?	90
Master's degree in Digital Twin Technology	What data synchronization challenges exist between a physical asset and its digital twin?	90
Master's degree in Digital Twin Technology	Explain the importance of real-time data processing in this field.	60
Master's degree in Digital Twin Technology 2	How would you validate the accuracy of a digital twin model?	90
Master's degree in Digital Twin Technology 2	What industries do you think benefit most from digital twin technology?	60
Master's degree in Digital Twin Technology 2	Describe the cybersecurity risks associated with digital twins.	90
Master's degree in Digital Twin Technology 2	How does cloud computing enable scalable digital twin solutions?	60
Master's degree in Mechanical Engineering 2	What is the difference between stress and strain?	45
Master's degree in Mechanical Engineering 2	How does heat treatment affect the properties of steel?	60
Master's degree in Mechanical Engineering 2	What factors must be considered when designing a gear system?	60
Master's degree in Mechanical Engineering 2	Explain the principle of conservation of energy in a mechanical context.	60
Industrial Engineering and Innovation Management 2	What is the Critical Path Method (CPM) in project management?	60
Industrial Engineering and Innovation Management 2	How do you manage resistance to change when introducing new technology?	90
Industrial Engineering and Innovation Management 2	What is the role of inventory management in cost reduction?	60
Industrial Engineering and Innovation Management 2	Explain the concept of disruptive innovation.	60
Master's degree ISSE 2	What is the Model-View-Controller (MVC) architectural pattern?	60
Master's degree ISSE 2	How do you prioritize features in a software product backlog?	90
Master's degree ISSE 2	What is the importance of code reviews?	60
Master's degree ISSE 2	Explain the difference between SaaS, PaaS, and IaaS.	90
Master's degree in Global Economics 2	How do tariffs influence international trade balances?	60
Master's degree in Global Economics 2	What is the function of the World Trade Organization (WTO)?	60
Master's degree in Global Economics 2	How does currency devaluation affect a country's exports?	60
Master's degree in Global Economics 2	Discuss the economic impact of a global pandemic.	90
Master's degree in Financial Engineering 2	What is Monte Carlo simulation and how is it used in finance?	90
Master's degree in Financial Engineering 2	Explain the concept of arbitrage.	60
Master's degree in Financial Engineering 2	How does credit rating affect corporate borrowing costs?	60
Master's degree in Financial Engineering 2	What is the efficient market hypothesis?	60
Master's degree in Business Leadership 2	How do you build trust within a remote team?	90
Master's degree in Business Leadership 2	What is emotional intelligence and why does a leader need it?	60
Master's degree in Business Leadership 2	Describe a time you had to make an unpopular decision.	120
Master's degree in Business Leadership 2	How do you balance short-term goals with long-term vision?	90
Master's degree in Transport Logistics 2	What is the role of a freight forwarder?	60
Master's degree in Transport Logistics 2	How does blockchain technology improve supply chain transparency?	90
Master's degree in Transport Logistics 2	What are the key challenges in reverse logistics (returns)?	90
Master's degree in Transport Logistics 2	Explain the concept of multimodal transport.	60
Marine Studies	What are the primary safety hazards in the engine room of a ship?	60
Marine Studies	How does international maritime law affect shipping routes?	90
Marine Studies	What is the function of the ballast water system?	60
Marine Studies	Describe the principle of buoyancy.	60
Marine Studies	How do environmental regulations impact fuel choices for ships?	90






